Resolution,CRF,QP,BITRATE(M),RATIO,mAP@50-NoSR,mAP@50-BICUBIC,mAP@50-FSRCNN,mAP@50-BASICVSR++,PSNR-NoSR,PSNR-BICUBIC,PSNR-FSRCNN,PSNR-BASICVSR++
1440p,0,,390.0695956,1,100,,,,,,,
1440p,2,,179.7321432,0.4607694247,94.32494737,,,,50.25834604,,,
1440p,5,,124.4963081,0.3191643478,93.92621053,,,,48.22323897,,,
1440p,7,,96.44125035,0.2472411371,90.79736842,,,,46.9947204,,,
1440p,10,,65.47378253,0.1678515405,89.59389474,,,,45.30313459,,,
1440p,15,,34.60677316,0.08871948378,84.02063158,,,,42.75954227,,,
1440p,20,,18.33441789,0.04700294024,78.77831579,,,,40.41221827,,,
1440p,25,,9.73421077,0.02495506156,68.52347368,,,,38.22977283,,,
1440p,30,,5.32401993,0.0136488975,57.29957895,,,,36.35258495,,,
1440p,35,,3.03393957,0.007777944255,44.94947368,,,,34.75922335,,,
1440p,40,,1.80715485,0.004632903642,34.24894737,,,,33.34989946,,,
360p,0,,36.0767843,0.09248807061,45.97989474,44.04578947,61.67957895,67.34189474,,35.82990606,36.16182835,36.59972353
360p,2,,18.90094996,0.04845532739,44.66873684,43.47736842,57.92947368,61.31147368,,35.65278133,35.94669308,36.18357028
360p,5,,13.70589728,0.03513705614,43.84905263,42.21136842,55.49378947,57.5,,35.53668685,35.80648802,36
360p,7,,10.86718986,0.02785961783,42.80505263,41.74621053,54.03431579,55.296,,35.43451655,35.68267527,35.76926458
360p,10,,7.53981259,0.01932940346,41.36863158,40.26947368,51.07094737,52.48578947,,35.24421575,35.45080223,35.46603573
360p,15,,3.96945352,0.01017626999,38.59021053,36.95063158,45.63684211,45.27536842,,34.81300973,34.93493234,34.88398534
360p,20,,2.0167325,0.005170186353,33.62052632,33.17147368,37.34105263,37.34105263,,34.2350881,34.27619741,34.23376223
360p,25,,0.99334423,0.002546582049,27.96084211,27.60515789,30.67757895,29.88789474,,33.5436424,33.53727211,33.52617169
360p,30,,0.4932816,0.001264598947,22.49189474,22.20389474,23.32178947,23.00768421,,32.82362519,32.80362262,32.80651325
360p,35,,0.25734993,0.0006597538821,17.63936842,17.56157895,17.37242105,16.73768421,,32.11864226,32.10778632,32.1063873
360p,40,,0.14478257,0.0003711711234,12.09063158,12.04915789,12.09736842,11.61357895,,31.41263517,31.41757897,31.40513057
360p,,0,36.0767843,0.09248807061,45.97989474,44.04578947,61.67957895,67.34189474,,35.82990606,36.16182835,36.59972353
360p,,10,15.54568529,0.03985361962,44.34926316,43.00052632,56.89263158,60.85189474,,35.52187229,35.81076433,36.0052822
360p,,20,4.88559838,0.01252494025,39.41905263,37.68684211,47.74642105,47.55957895,,34.78311004,34.91948098,34.88950313
360p,,30,1.25968876,0.003229394893,28.57694737,28.17536842,31.22578947,31.13031579,,33.40009153,33.40809373,33.39158741
360p,,40,0.33015766,0.000846407061,17.63663158,17.52684211,18.44936842,18.12652632,,31.78159522,31.79909105,31.77058702
,,,,,,,,,,,,
1080p,0,,235.7512804,1,100,,,,,,,
1080p,2,,105.9047064,0.4492221899,91.00020833,,,,50.03005673,,,
1080p,5,,74.9171358,0.3177803984,88.82010417,,,,47.96425533,,,
1080p,7,,59.01564417,0.250330111,88.11583333,,,,46.71243587,,,
1080p,10,,41.20541074,0.1747834017,83.850625,,,,44.95901824,,,
1080p,15,,22.62607178,0.09597433255,79.261875,,,,42.22211,,,
1080p,20,,12.10352671,0.05134023744,67.988125,,,,39.67694301,,,
1080p,25,,6.36464017,0.02699726661,60.6559375,,,,37.45309953,,,
1080p,30,,3.39908734,0.01441810765,50.76895833,,,,35.64703777,,,
1080p,35,,1.88047679,0.007976528429,38.24333333,,,,34.19915351,,,
1080p,40,,1.09530179,0.00464600569,27.85479167,,,,33.34989946,,,
270p,0,,20.91221184,0.08870455256,29.04229167,29.62541667,44.11864583,51.99916667,,34.86340526,35.1478557,35.57331811
270p,2,,11.06747769,0.04694556769,27.94510417,28.834375,41.8884375,47.664375,,34.73582854,34.9937158,35.24745666
270p,5,,8.08587686,0.03429833699,27.53479167,28.54635417,40.66989583,45.51708333,,34.6469936,34.88610285,35.05909714
270p,7,,6.44129779,0.02732242972,27.003125,28.15885417,39.28604167,43.7853125,,34.56684182,34.78804989,34.90974869
270p,10,,4.50063122,0.01909059078,26.7346875,27.72947917,37.50739583,40.94625,,34.41454604,34.60067888,34.65512506
270p,15,,2.38965984,0.01013635997,25.066875,26.03947917,33.07635417,34.73322917,,34.05865372,34.17218204,34.15683248
270p,20,,1.21227866,0.005142193324,22.79791667,23.1253125,28.00302083,29.03677083,,33.56541547,33.60733847,33.58735116
270p,25,,0.5906986,0.002505600814,19.72322917,19.76416667,23.10135417,23.5646875,,32.96937608,32.9680319,32.96693525
270p,30,,0.29080925,0.001233542611,15.94395833,15.73864583,17.4384375,17.3746875,,32.34770061,32.33260936,32.33888904
270p,35,,0.15152051,0.0006427134129,12.434375,12.51354167,13.49364583,13.29072917,,31.73744853,31.72577097,31.72877217
270p,40,,0.08619076,0.0003656003898,9.072395833,8.696666667,8.784166667,8.233020833,,31.12462079,31.12354397,31.11883664
